,date,corridor_length,temp_treatment,patch,replicate,blepharisma,colpidium,didinium,homalozoon,paramecium,spirostomum,bursaria,day
Fluctuating_Asynchronous_Long_5a7,29/11/2021,Long,Fluctuating_Asynchro,A,5,0,0,0,5,500,80,1,7
Fluctuating_Asynchronous_Long_5b7,29/11/2021,Long,Fluctuating_Asynchro,B,5,0,0,0,2,600,100,1,7
Static_Diff_Short_1a7,29/11/2021,Short,Static_Diff,A,1,410,1,0,0,140,5,4,7
Static_Diff_Short_1b7,29/11/2021,Short,Static_Diff,B,1,840,0,0,0,560,80,3,7
Static_Diff_Short_2a7,29/11/2021,Short,Static_Diff,A,2,140,0,2,0,270,120,2,7
Static_Diff_Short_2b7,29/11/2021,Short,Static_Diff,B,2,933.3333333,0,2,0,1400,120,0,7
Static_Diff_Short_3a7,29/11/2021,Short,Static_Diff,A,3,220,0,0,0,190,60,6,7
Static_Diff_Short_3b7,29/11/2021,Short,Static_Diff,B,3,1100,0,0,0,460,5,1,7
Static_Diff_Short_4a7,29/11/2021,Short,Static_Diff,A,4,110,0,0,5,110,2,1,7
Static_Diff_Short_4b7,29/11/2021,Short,Static_Diff,B,4,350,1,0,0,380,3,0,7
Static_Diff_Short_5a7,29/11/2021,Short,Static_Diff,A,5,100,0,0,13,310,0,0,7
Static_Diff_Short_5b7,29/11/2021,Short,Static_Diff,B,5,230,70,0,4,390,110,3,7
Static_Diff_Long_1a7,29/11/2021,Long,Static_Diff,A,1,333.3333333,0,0,1,733.3333333,83.33333333,3,7
Static_Diff_Long_1b7,29/11/2021,Long,Static_Diff,B,1,60,1,0,0,1000,13,4,7
Static_Diff_Long_2a7,29/11/2021,Long,Static_Diff,A,2,0,22,0,2,160,2,1,7
Static_Diff_Long_2b7,29/11/2021,Long,Static_Diff,B,2,0,6,0,5,110,5,5,7
Static_Diff_Long_3a7,29/11/2021,Long,Static_Diff,A,3,270,0,0,0,500,140,1,7
Static_Diff_Long_3b7,29/11/2021,Long,Static_Diff,B,3,310,0,0,3,600,160,0,7
Static_Diff_Long_5a7,29/11/2021,Long,Static_Diff,A,5,0,0,0,1,140,50,3,7
